Geo_FIPS,city,fipsstatecode,cbsa10,cbsaname10,year,overall_score,hc_score,dl_score,lag_overall,lag_hc,lag_dl,pntv_blk,pfb_blk_percent,pfb_nonblk,pntv_nwnb,ntv_blk,fb_blk,fb_nonblk,pop,nhwht,nhblk,hisp,asian,ppov,hinc,pnhwht,land_area_sqmiles,pop_density,cbsa_pntv_blk,bw_isolation,fbw_isolation,nbbw_isolation,fbbw_isolation,nbfbw_isolation
48201221800,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.4053526134631195,-0.2364221057457691,-0.57428312118047,-0.2800509973167207,-0.3745204451179579,-0.1855815495154835,0.0,0.0,0.4173959162025988,0.5298329355608592,0,0,1686,3771,276,0,3469,26,30.0676589986468,33548.0,0.0731901352426412,1.2131315,3532.181,0.197508035500828,-0.5098835430121,0.675866181231814,-0.455670759866397,-0.0538524457769405,0.687244124690112
48201222000,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.1487934041210174,-0.0493324247785921,-0.2482543834634427,-0.342656893699295,-0.4329516483192351,-0.2523621390793547,0.0629458665547629,0.0,0.2664708350818296,0.6617708770457407,150,0,781,2383,183,150,2036,0,20.3944607637432,42107.0,0.0767939571968107,0.44183988,5674.0011,0.197508035500828,0.398777622971122,0.691912892093514,0.414422316030866,-0.0565433073724224,0.702900978185958
48201230100,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.1741476707344859,-0.0217148531822112,-0.3265804882867607,-0.1765225603588159,-0.2746101105519112,-0.0784350101657206,0.69453125,0.0109375,0.11875,0.14921875,889,14,151,1280,36,903,341,0,25.4886630179828,30714.0,0.028125,0.52210319,3265.638,0.197508035500828,0.93129634966086,0.750278365197731,0.934023152555983,0.18118603324978,0.750209256115939
48201230200,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,0.1465124643708529,-0.0643346457353758,0.3573595744770818,-0.1417088857004916,-0.2891609684014316,0.0057431970004483,0.8245912083244851,0.0076449352304098,0.0630707156508812,0.1369717562115098,3883,36,416,4709,71,3861,691,0,26.1853908586074,29096.0,0.0150775111488638,3.0033228,1682.8028,0.197508035500828,0.955923810757698,0.777195231401383,0.957627878529602,0.122455775778961,0.780304216801234
48201331900,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2439625980289717,-0.3121761516454439,-0.1757490444124995,-0.2223284117267188,-0.4279541826415232,-0.0167026408119144,0.8221538461538461,0.0,0.0686153846153846,0.1384615384615384,2672,0,223,3250,18,2672,552,0,22.0,34400.0,0.0055384615384615,0.64934973,5180.5674,0.197508035500828,0.958680376107282,0.522527234233233,0.96013312722412,0.152077276386484,0.509667454624799
48201332000,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.1117767836081768,-0.14244448453132,-0.0811090826850336,-0.1498968575532816,-0.1790958376202746,-0.1206978774862886,0.7459002815968196,0.0091104853404008,0.1008779194964386,0.1934735795925128,4503,55,729,6037,203,4391,1344,38,37.0438567124205,24496.0,0.0336259731654795,0.85304681,6556.4984,0.197508035500828,0.970523162753715,0.814686746395362,0.971654938423498,0.194486993970061,0.816180176751228
48201332100,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.1469575484089913,0.0325658855256223,-0.326480982343605,-0.0212530755983903,-0.0057498550854021,-0.0367562961113785,0.3776896942242355,0.0014156285390713,0.2386749716874292,0.4419592298980747,1334,5,1096,3532,7,1334,2162,16,29.9885321100917,36528.0,0.0019818799546998,0.41493011,7319.305,0.197508035500828,0.943771896371024,0.705998620374976,0.946168515997311,0.0359643950990415,0.712437967019277
48201332200,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.1473728975112579,-0.0303258356995472,-0.2644199593229686,-0.1530664708780896,-0.1677054522761228,-0.1384274894800565,0.5990247561890473,0.0,0.200112528132033,0.237059264816204,3194,0,1373,5332,9,3156,2045,0,29.2010502625656,43346.0,0.0016879219804951,1.096795,4545.0607,0.197508035500828,0.936600262635813,0.838043916245367,0.939147336288466,0.167869481459481,0.840552074555449
48201332300,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.5453549260850695,-0.600270664871808,-0.4904391872983309,-0.278569755268419,-0.3968461767217891,-0.1602933338150489,0.7364288152953227,0.0081939228405599,0.1437350631614885,0.1454421304199385,2157,24,546,2929,6,2173,750,0,24.0772680234564,42813.0,0.0020484807101399,0.45278318,6444.5857,0.197508035500828,0.969604571249152,0.910549696977624,0.970627997360011,0.359016729077456,0.911350092295274
48201332400,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2893059589244836,-0.502694977877193,-0.0759169399717742,-0.3536501412492618,-0.4772352876641267,-0.2300649948343969,0.8510021097046413,0.0145042194092827,0.0630274261603375,0.0651371308016877,3227,55,308,3792,35,3248,434,0,10.9370852136979,33294.0,0.0092299578059071,1.4081262,3033.1088,0.197508035500828,0.913467687227405,0.57316373804805,0.916754524109252,0.0641603282771077,0.576105039335272
48201332500,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.4622503687653248,-0.6320235633061435,-0.2924771742245061,-0.3892731689319641,-0.5478367950098872,-0.230709542854041,0.4656588892540256,0.0029576076240552,0.1560959579362471,0.3739730529083142,1417,9,546,3043,92,1426,1505,0,28.8202431810713,34755.0,0.030233322379231,0.74941428,4346.0607,0.197508035500828,0.872746709113414,0.662296998655897,0.877161468103941,0.0842309578564505,0.665487504684645
48201332600,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2079385068727788,-0.3735194192765951,-0.0423575944689625,-0.3503153935166561,-0.3821267116963747,-0.3185040753369375,0.30108795386027,0.0068160964739808,0.277231616201337,0.4509109975095032,2297,52,2210,7629,67,2276,5242,32,18.35102896841,40726.0,0.0087822781491676,1.2769932,5172.3064,0.197508035500828,0.729360048819134,0.719463605181289,0.736344713174036,0.0327022463678514,0.725973027611169
48201332700,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2574471399725489,-0.1544604053136483,-0.3604338746314495,-0.1225718982319489,-0.1734621849149339,-0.0716816115489639,0.0021682567215958,0.0,0.3412836079791847,0.645273200346921,5,0,839,2306,111,5,2174,16,32.0034692107546,33036.0,0.0481352992194275,0.9776165,2790.4603,0.197508035500828,0.718019185240105,0.747475864858499,0.730754704643719,-0.0245452616416475,0.755651826865543
48201332800,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2333487412300719,-0.2638985480506772,-0.2027989344094666,-0.1068970237033683,-0.141453744627901,-0.0723403027788356,0.1459262261856506,0.0,0.4035265504661532,0.409809485204702,720,0,2168,4934,398,677,3851,8,35.5625,24904.0,0.0806647750304013,0.75324364,6129.4908,0.197508035500828,0.0851848243227542,0.696348055366618,0.123993161508242,-0.0526821986270276,0.707026988495145
48201532501,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.2753432585626033,-0.1654524206581906,-0.385234096467016,-0.4180828253809969,-0.4634003296060708,-0.372765321155923,0.0554524361948955,0.0088167053364269,0.4001160092807425,0.5020881670533642,478,76,4076,8620,1269,517,5466,1323,8.59628770301624,60210.0,0.1472157772621809,1.8503649,4807.1598,0.197508035500828,-0.183503000499333,0.341706774737426,-0.140785177066567,-0.0539595680000151,0.362352236939474
48201455101,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,-0.0999915456649349,-0.0175664133436388,-0.1824166779862309,-0.1012370250593118,-0.190340424880142,-0.0121336252384815,0.0574976380078283,0.0220002699419624,0.1660143069240113,0.2536104737481441,426,163,1133,7409,4020,589,2350,184,5.12889728708328,77684.0,0.5425833445809151,1.0527852,6697.4727,0.197508035500828,-0.669531060294814,-0.57216386647922,-0.619315767819979,-0.0643184041951015,-0.527260574691736
48201454501,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,0.0801902406908832,-0.0081336092220102,0.1685140906037767,-0.0984559456474296,-0.1221450626249804,-0.0747668286698788,0.0066247101689301,0.0083912995473114,0.363696588274263,0.105112068013691,60,76,1817,9057,6257,136,886,1548,4.64833830186596,164517.0,0.6908468587832616,4.3977192,1915.311,0.197508035500828,-0.594192069853277,-0.297765010333408,-0.573919346456468,-0.0487486688605101,-0.270689366938521
48201454301,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,0.0714342422722822,-0.3157472307950366,0.4586157153396012,-0.1301950784961461,-0.1915719041861485,-0.0688182528061435,0.3780266842365343,0.0945478504365014,0.2394992587712073,0.2304397957502882,4590,1148,3023,12142,1300,5620,3354,1525,12.6077586206897,53724.0,0.1070663811563169,1.5268418,6878.9051,0.197508035500828,0.45445786306982,0.41104785466911,0.377015031958712,0.304935715084616,0.326066652751945
48201453402,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,0.1283959137286156,0.2655072127139909,-0.0087153852567596,-0.1267386949667114,0.0257088900726767,-0.2791862800060997,0.1601182411627047,0.0562877201625816,0.417539105801207,0.3690109619411257,1300,457,4231,8119,551,1757,3959,1533,21.7514472225644,43654.0,0.0678655006774233,0.92932979,8838.6277,0.197508035500828,0.658264088746194,0.728027556884447,0.615713566922709,0.444395594336795,0.700875689644205
48201432902,Houston,48,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",2015,0.0268532389095154,0.1989673645450747,-0.1452608867260438,0.1096647930649741,0.1801023088785529,0.0392272772513953,0.0623365300784655,0.024411508282476,0.6384771868642837,0.2737576285963383,429,168,5415,6882,645,490,4409,1338,28.4487776484284,34172.0,0.0937227550130776,0.58120076,7701.2975,0.197508035500828,0.0384827552208565,0.704087357443263,-0.0643373914662086,0.217781046025885,0.698934223856311
